rus	rust
col	cool
nice	nice
you	you
th	the
 a	a
 an	an
man	man
name	name
an	and
as	as
or	or
bu	but
if	if
so	so
dn	then
bc	because

to	to
of	of
in	in
 f	for
 w	with
on	on
at	at
fm	from
by	by
abt	about
up	up
io	into
ov	over
af	after
wo	without
 i	I
 me	me
 my	my
ou	you
ur	your
he	he
hm	him
his	his
sh	she
hr	her
it	it
ts	its
we	we
us	us
our	our
dz	they
dr	their
dm	them
wc	which
wn	when
wt	what
wr	where
ho	who
hw	how
wz	why
is	is
ar	are
wa	was
er	were
be	be
hv	have
hs	has
hd	had
nt	not
cn	can
do	do
wl	will
cd	could
wd	would
sd	should
li	like
bn	been
ge	get
maz	may
mad	made
mk	make
ai	said
wk	work
uz	use
sz	say
 g	go
kn	know
tk	take
 se	see
lk	look
cm	come
thk	think
wnt	want
gi	give
ct	cannot
de	does
di	did
sem	seem
cl	call
tha	thank

 im	I'm
 id	I'd
dt	that
dis	this
des	these
tes	test
al	all
 o	one
mo	more
the	there
out	out
ao	also
tm	time
sm	some
js	just
ne	new
odr	other
pl	people
 n	no
dan	than
oz	only
 m	most
ay	any
may	many
el	well
fs	first
vy	very
much	much
now	now
ev	even
go	good
grt	great
way	way
 t	two
yr	year
bk	back
day	day
qn	question
sc	second
dg	thing
 y	yes
cn'	can't
dif	different
dgh	though
tru	through
sr	sorry
mv	move
dir	dir
stop	stop
tye	type
nx	next
sam	same
tp	top
cod	code
git	git
 to	TODO
cls	class
clus	cluster
sure	sure
lets	let's
sup	super
such	such
thig	thing
yet	yet
don	done
sem	seem
ran	ran
job	job
bot	bot
fx	effect
nce	once
rad	read
ltr	later
lot	lot
brw	brew
unst	uninstall
rmv	remove
 ad	add
poe	problem
buld	build
 tol	tool
got	got
les	less
 0	zero
 1	one
 2	two
 3	three
 4	four
 5	five
 6	six
 7	seven
 8	eight
 9	nine
